"dir","total_files","total_hits"
"docs\bounties\4445\phase4","2","4"
"indra\llcharacter\tests","1","26"
"indra\llcommon\tests","42","1211"
"indra\llcorehttp\tests","9","399"
"indra\llfilesystem\tests","2","81"
"indra\llimage\tests","1","4"
"indra\llinventory\tests","2","112"
"indra\llkdu\tests","1","4"
"indra\llmath\tests","16","888"
"indra\llmessage\tests","10","221"
"indra\llprimitive\tests","3","74"
"indra\llui\tests","2","29"
"indra\llxml\tests","1","10"
"indra\newview\tests","23","913"
"indra\test","34","1113"
"indra\viewer_components\login\tests","1","5"
"tools\bounties\4445\phase4","1","35"
